codice_istat,indice_istruzione
19080,28.64
42039,36.8
61016,35.89
13047,25.76
75014,35.59
33011,36.8
36005,37.67
58020,40.83
4044,19.44
69012,29.87
61018,49.39
62015,29.19
6039,39.22
19018,34.42
35012,33.5
59001,37.93
93002,33.03
106001,26.9
80005,40.51
13043,42.86
17035,30.91
51006,34.13
66022,38.68
19013,26.45
20010,22.37
20012,24.3
3041,31.0
2033,29.41
6041,32.46
54007,37.27
1062,40.12
16060,24.52
69017,40.54
57012,44.98
15060,53.3
15061,42.84
1064,55.54
61023,36.05
23021,33.08
66027,38.93
37016,37.78
10001,51.49
69003,34.57
15010,38.51
8004,23.15
62005,41.11
1214,40.44
19083,29.64
23062,28.04
4183,16.42
97071,41.56
5093,33.66
66080,43.67
40036,32.63
57062,33.69
49005,43.91
79017,31.36
66024,41.56
4187,33.49
59021,35.7
61070,39.43
59023,29.36
5032,28.9
58025,44.82
8015,23.89
70013,19.25
12031,29.92
1056,30.79
20009,31.52
9018,38.1
80022,21.33
22042,32.18
79020,37.77
16055,29.41
12035,31.82
73002,38.93
28005,38.01
58010,46.36
63005,29.76
24008,33.41
8013,26.95
75015,32.91
70011,34.42
83073,30.04
80067,53.93
4194,39.65
13197,31.37
66005,31.13
69005,37.84
89001,47.63
64007,40.16
14056,29.31
35035,33.41
22154,36.57
23063,25.53
31016,41.13
22158,27.9
22159,41.96
18130,24.32
29040,29.46
78108,42.96
69014,24.86
1060,39.88
65026,36.09
19017,30.99
37011,45.23
24089,39.76
10052,31.07
22160,26.62
28072,44.62
1230,33.64
83012,24.49
63019,48.93
58021,38.18
61103,27.26
97015,24.55
61073,36.71
17168,25.08
58093,58.93
7064,38.92
99021,26.29
59004,44.21
26012,41.54
82024,34.6
35014,38.68
13203,24.07
4199,27.83
1233,48.42
2127,42.57
99015,33.03
19087,29.51
72039,40.15
4205,29.22
78111,41.55
97016,41.11
78028,54.75
103061,35.56
70063,18.13
75068,42.96
61074,32.15
3042,28.17
4050,30.62
70014,28.37
61025,42.57
61005,45.02
7006,37.31
7007,40.11
16017,18.72
21006,32.86
71016,27.33
76024,22.7
35016,40.41
82006,35.91
4009,24.61
56003,41.55
1017,36.97
66007,32.53
90007,25.51
15250,32.4
1021,34.8
21007,23.31
23006,38.57
3012,31.87
66010,30.73
63023,35.46
78029,38.41
6042,35.01
97018,29.15
24026,36.83
57014,43.19
1067,26.61
94011,25.93
66030,29.5
62020,23.93
37021,44.29
20017,34.23
56018,33.77
44012,36.23
98015,38.18
78031,66.21
78032,31.38
99002,42.85
16021,29.8
15014,40.75
4014,28.74
18011,36.72
103008,38.48
22050,37.47
3047,33.37
93012,28.74
51013,37.4
1238,33.33
19089,27.58
74013,34.9
18042,41.9
27007,34.89
4060,26.14
67015,27.21
16068,31.17
17014,32.06
43004,43.81
58012,33.68
3016,35.21
37014,29.81
66028,51.31
19024,31.09
58022,50.93
62022,47.92
13063,26.35
78036,31.2
13021,22.51
90008,27.74
13022,31.2
4022,36.13
40003,37.54
36037,36.77
26072,32.24
83078,24.42
14058,20.4
63067,47.55
1073,35.56
33015,26.85
13065,42.92
54010,31.45
76027,42.33
60026,47.99
58029,47.47
103022,27.35
8018,30.8
65041,39.78
7020,34.75
52009,44.38
42014,41.94
28076,32.1
80071,27.08
65119,34.76
37053,40.04
71046,46.31
58095,34.36
25045,29.82
62060,42.81
80074,24.41
64082,39.32
23073,35.74
78124,35.91
70069,34.73
3133,24.46
65124,33.21
62066,46.91
64085,45.29
95046,20.12
5101,35.44
83081,34.89
23076,43.51
75071,36.77
74016,35.3
80076,27.27
80077,30.01
34033,36.21
64087,32.91
83090,28.88
37019,44.64
65034,43.79
48010,29.65
15022,33.21
12012,36.4
78016,30.97
49001,31.0
36006,36.39
29011,30.17
69019,23.46
81005,40.19
6045,32.93
30011,30.08
6017,33.46
72011,35.83
13025,26.81
50010,34.26
18039,34.75
63025,36.93
47022,29.91
27008,27.59
24030,29.4
51015,34.6
12016,47.83
10004,54.77
1027,33.33
82011,28.83
85002,28.05
22020,28.99
70004,33.0
6018,38.19
9012,25.31
20016,29.91
4053,16.0
18040,24.86
79030,36.2
2042,33.33
5039,23.68
82031,39.41
62017,21.22
21019,30.32
101005,40.38
6054,32.96
66031,32.5
28031,31.22
77005,26.77
16075,27.27
5040,26.15
68012,45.39
18016,36.37
22022,38.16
20005,29.23
33006,33.98
28013,33.19
81006,38.36
4056,30.33
16064,27.42
97022,35.63
94016,32.65
56022,34.56
66036,36.43
1088,35.76
66037,27.13
30027,40.98
35019,33.29
17045,24.6
75017,31.6
60023,35.6
82025,24.39
69007,30.96
23010,25.34
1033,30.69
4028,32.47
57019,32.33
17057,42.91
1091,32.88
94017,46.95
2045,48.89
75020,50.57
27006,25.84
58026,39.5
22052,35.89
22054,30.1
34010,35.38
45005,31.34
17060,22.21
22064,26.03
92064,23.93
25051,43.77
26077,27.06
4209,19.12
65044,42.31
27011,32.31
26021,44.53
28034,34.79
18054,34.0
54015,50.91
10019,33.48
31002,38.52
24034,31.97
98023,29.84
5046,30.17
98024,35.95
18056,29.46
106015,32.81
18139,29.11
70072,30.89
83086,27.85
18142,35.5
90087,27.5
42043,30.35
64093,41.72
17046,26.4
17047,31.75
56019,37.07
71007,39.91
21009,20.0
24014,35.03
2019,33.33
17028,39.64
78131,27.8
87045,68.2
18141,44.17
92061,27.5
61086,40.23
84039,32.65
63074,31.96
62078,39.41
68037,22.93
59026,39.55
66091,49.5
15200,40.98
16192,26.33
14024,32.46
44016,30.08
29018,30.52
39009,38.23
77007,23.46
22025,36.19
12020,41.07
6024,31.25
12021,43.32
22055,27.75
29014,28.83
65039,40.84
79025,20.44
60025,43.86
65040,39.56
69027,35.61
97029,38.03
26024,31.94
96021,25.53
10020,32.26
103013,33.76
11007,33.43
1039,27.29
69008,35.94
65017,32.77
21020,38.63
5035,23.08
58027,41.46
62023,43.03
96022,22.06
15096,37.03
12060,31.88
44017,42.05
66012,40.27
97011,28.22
90020,23.2
15038,33.08
15040,48.78
94014,37.61
18046,42.76
40008,38.83
25052,34.41
76081,38.83
22170,34.3
52031,37.58
43011,28.15
78040,38.79
4066,35.36
7016,24.1
90024,29.43
1076,32.82
20021,43.64
16090,17.47
12063,28.5
14025,34.49
101002,37.45
33007,33.05
92009,54.85
14011,32.98
90064,47.61
30107,33.33
63076,40.05
9056,44.85
14026,34.99
6065,32.18
8027,38.61
78049,48.13
4081,31.18
9015,34.18
86005,36.95
87010,31.59
16044,25.48
33008,34.21
16072,24.8
51014,34.72
82029,30.01
64028,35.25
8020,36.74
11008,30.43
16046,26.41
65020,39.12
18025,38.18
1048,37.13
4035,33.33
61011,38.13
6027,37.91
53002,30.38
96011,47.65
1049,24.49
14012,32.8
82017,36.88
27003,27.15
8011,28.46
28019,39.73
58016,44.73
76018,36.94
1051,40.3
1052,18.97
65024,35.23
5018,31.43
41008,37.46
53003,34.0
83008,26.59
78137,25.8
64097,35.38
94048,31.74
21087,24.38
88011,34.45
64031,42.52
13090,31.17
18061,33.27
30034,17.32
58118,51.48
65042,29.32
22059,19.39
83009,49.67
66023,30.57
26007,37.7
4039,25.86
61014,40.41
62024,37.4
101008,36.65
22060,26.61
15078,45.83
74005,34.73
5019,36.73
16053,34.92
8012,32.43
107003,37.95
1262,43.09
2135,37.75
30109,31.16
16196,21.51
17176,26.82
23080,18.97
90066,17.28
76085,39.48
92070,33.67
66035,45.69
69024,39.12
13071,28.33
93015,22.05
20061,37.44
78140,37.36
42047,33.47
79129,32.28
47020,36.11
46008,18.01
6031,33.09
1058,32.58
82021,34.96
1059,32.61
94049,37.0
94050,37.94
36043,31.72
79131,50.47
59028,34.11
78042,30.86
5041,33.46
18051,41.01
97024,36.53
52032,55.3
26081,39.86
3138,30.35
4220,29.2
64100,51.83
22175,36.48
75075,36.24
15213,33.95
20063,33.08
62073,43.03
23083,39.01
17181,31.71
34036,31.66
102040,36.78
13217,29.93
16204,31.14
24103,40.27
61089,43.96
22179,36.22
102042,39.36
68041,50.24
1099,36.64
62027,38.39
5052,30.5
25014,22.5
69025,25.78
66039,40.28
60028,33.13
49008,38.19
57022,32.25
12034,39.34
74002,30.47
24024,33.66
11010,24.15
26082,35.02
19103,32.03
9059,27.36
51036,37.27
18153,41.66
22184,38.03
96065,28.19
92083,28.69
12124,33.2
25015,26.65
63029,46.76
16081,32.5
44015,36.14
30035,31.42
27013,23.61
63064,36.24
28037,43.5
46012,21.63
15051,39.73
61019,31.29
60017,21.64
103019,30.04
56049,47.97
95064,21.56
25059,33.29
57067,34.28
56050,43.09
12036,32.37
98008,37.47
98009,42.33
6040,38.07
18031,35.41
96014,26.65
13050,33.33
18033,33.69
30036,34.85
25019,31.97
79047,41.63
36011,33.32
65029,32.8
13052,30.87
63022,26.15
5020,25.04
12040,32.43
89007,32.05
18036,36.92
17040,31.16
37013,29.83
44011,42.3
61024,31.34
58023,43.34
61026,36.19
94012,36.21
21018,23.58
82022,36.51
76021,28.81
1271,31.56
13222,38.55
41064,31.83
104025,39.2
68019,22.38
74007,33.43
22082,25.59
55012,34.55
80032,23.55
23029,26.04
22066,26.96
29017,26.46
18062,28.59
34014,41.44
17071,19.47
58037,36.34
65031,41.88
73003,38.81
6047,32.53
42011,28.77
3043,36.36
69032,35.33
9029,41.28
43018,25.27
60035,44.77
87016,37.47
95080,27.11
51018,35.07
11013,39.65
34015,34.92
28038,30.84
16102,20.17
63031,48.33
59008,52.81
22089,31.34
46014,29.1
70024,26.21
24041,19.13
30119,25.93
21098,29.35
55032,49.61
78146,36.03
22067,36.24
59006,38.01
99003,38.13
82034,33.8
16249,23.62
4072,30.29
67012,34.9
37017,37.7
22047,30.2
76022,40.62
6052,31.44
65032,39.39
5031,34.15
62018,32.35
74008,33.47
6071,37.26
6072,35.19
62035,38.85
26030,35.72
105017,24.72
8060,34.52
19104,28.65
17185,31.38
21100,27.6
43010,34.04
9021,28.85
19026,40.21
92106,26.57
97001,39.35
76001,28.39
57001,25.62
41001,36.9
102001,25.11
44002,37.92
58001,40.98
86001,30.06
19002,30.39
12001,40.66
69037,36.06
94022,34.13
23035,39.65
6077,27.86
83029,34.83
19033,30.22
97025,26.84
67022,26.24
17064,30.12
54009,40.19
46010,31.93
44013,32.99
75018,32.28
61001,38.29
4002,24.44
68002,38.2
57068,36.4
69090,35.6
67042,38.86
75028,32.21
97036,38.67
12071,53.32
28039,33.87
64109,32.89
69091,33.94
90073,27.56
18156,24.1
48020,33.93
24044,28.91
6079,34.12
9030,45.54
35022,34.99
30031,33.62
4074,23.79
90027,29.53
29026,28.27
20025,28.48
42020,37.15
76036,37.97
18002,34.85
9002,36.43
79002,34.72
5002,39.65
95004,34.83
68010,31.81
80025,37.12
1069,31.79
13061,38.88
58044,33.93
102016,24.02
69040,37.28
95021,34.84
54021,38.86
27041,29.7
4227,23.5
74019,30.41
69094,36.62
60079,39.3
26014,28.69
36009,32.7
35017,37.1
78034,40.42
72018,41.02
25010,28.27
9023,31.32
103021,19.34
80037,19.3
79058,31.76
72021,38.87
63034,38.98
65004,28.65
1005,40.13
7001,30.39
16006,30.45
105018,39.83
83099,27.94
9062,36.2
81021,40.95
103067,20.63
10014,33.96
14017,26.93
6057,32.65
16071,26.54
103024,28.78
97028,34.55
19036,46.85
19037,34.78
98025,28.47
103025,31.31
48011,31.56
4063,24.02
18047,32.98
78038,26.94
65058,37.37
1116,44.23
107008,32.27
14032,30.24
31007,47.13
1074,44.26
83017,31.26
5037,25.84
7015,33.97
7018,31.79
65005,34.31
4005,27.18
60004,40.79
11001,43.04
63004,38.15
1097,39.54
1098,32.06
95077,29.17
3058,33.54
21027,26.26
34043,36.38
29047,28.77
4230,35.07
75087,38.59
10015,50.67
21021,25.84
4068,30.41
17080,25.65
56028,32.94
87018,33.29
14003,27.62
93001,21.24
23003,34.58
19003,27.76
15097,58.49
47004,31.69
9027,31.0
17066,30.58
54017,40.91
78048,49.52
8025,37.88
48013,31.68
3060,25.24
21022,28.34
1082,36.66
25013,27.02
18049,31.03
93014,22.28
19109,32.14
16220,35.39
15221,37.2
10063,28.52
16117,30.71
1117,33.88
64037,31.96
30045,27.27
6084,40.07
7002,33.98
103001,26.08
13010,38.58
71004,34.57
64004,35.53
2148,31.04
70081,26.79
21103,20.47
64113,37.08
97032,32.53
16092,19.28
37025,38.28
61033,41.21
68044,31.25
12130,35.75
43055,36.38
10064,31.18
78152,37.07
46031,22.36
10065,34.65
24112,23.1
6177,33.56
22209,20.48
33025,30.4
58046,62.35
76037,38.4
43021,33.33
58031,32.19
101007,28.61
16074,30.24
13093,30.74
91018,22.9
4085,20.3
13114,38.57
70028,30.05
54024,44.38
69044,23.42
69002,33.23
23004,27.3
14005,35.19
79007,31.25
25063,33.9
18169,36.55
56054,36.85
24113,23.03
12051,32.38
8022,37.33
